id,traditional,pinyin,english,topic,topic_english,part_of_speech,level,simplified,relative_freq_pct
720,座位,"zuòwèi ",seat,閒暇時間、娛樂,Leisure & Entertainment,(N),2,座位,0.00158457
721,博物館,"bówùguăn ",museum,閒暇時間、娛樂,Leisure & Entertainment,(N),2,博物馆,0.00198605
722,節目,"jiémù ",programme,閒暇時間、娛樂,Leisure & Entertainment,(N),2,节目,0.00964398
723,新聞,"xīnwén ",news,閒暇時間、娛樂,Leisure & Entertainment,(N),2,新闻,0.0175487
724,政治,"zhèngzhì ",politics,閒暇時間、娛樂,Leisure & Entertainment,(N),2,政治,0.0176421
725,體育,"tǐyù ",physical education,閒暇時間、娛樂,Leisure & Entertainment,(N),2,体育,0.0103296
726,網站,"wǎngzhàn ",website,閒暇時間、娛樂,Leisure & Entertainment,(N),2,网站,0.0115452
727,還,"hái ",return,閒暇時間、娛樂,Leisure & Entertainment,(Adv),2,还,0.198549
728,經常,"jīngcháng ",often,閒暇時間、娛樂,Leisure & Entertainment,(Adv),2,经常,0.0133697
729,平常,"píngcháng ",usually,閒暇時間、娛樂,Leisure & Entertainment,(N),2,平常,0.00210594
730,總是,"zǒngshì ",always,閒暇時間、娛樂,Leisure & Entertainment,(Adv),2,总是,0.0146429
731,已經,"yǐjīng ",already,閒暇時間、娛樂,Leisure & Entertainment,(Adv),2,已经,0.0980044
732,各,"gè ",each,閒暇時間、娛樂,Leisure & Entertainment,(Det),2,各,0.054544
733,雜誌,"zázhì ",Magazine,閒暇時間、娛樂,Leisure & Entertainment,(N),2,杂志,0.0063689
734,文章,"wénzhāng ",article,閒暇時間、娛樂,Leisure & Entertainment,(N),2,文章,0.00779774
735,故事,"gùshì ",story,閒暇時間、娛樂,Leisure & Entertainment,(N),2,故事,0.0123679
736,小說,"xiǎoshuō ",novel,閒暇時間、娛樂,Leisure & Entertainment,(N),2,小说,0.00452309
737,美術,"měishù ",art,閒暇時間、娛樂,Leisure & Entertainment,(N),2,美术,0.00126998
738,藝術,"yìshù ",Art,閒暇時間、娛樂,Leisure & Entertainment,(N),2,艺术,0.0113476
739,興趣,"xìngqù ",interest,閒暇時間、娛樂,Leisure & Entertainment,(N),2,兴趣,0.00434293
740,收,"shōu ",receive,閒暇時間、娛樂,Leisure & Entertainment,(VA),2,收,0.0173776
741,談,"tán ",talk,閒暇時間、娛樂,Leisure & Entertainment,(VA),2,谈,0.0092645
742,聊天/聊天兒,liáotiān/liáotiānr,chat/chat,閒暇時間、娛樂,Leisure & Entertainment,(VA),2,聊天/聊天儿,
743,唱,"chàng ",Sing,閒暇時間、娛樂,Leisure & Entertainment,(VA),2,唱,0.0118713
744,歌,gē,Song,閒暇時間、娛樂,Leisure & Entertainment,(N),2,歌,0.0146794
745,早,"zǎo ",morning,閒暇時間、娛樂,Leisure & Entertainment,(VS),2,早,0.020489
746,遲到,"chídào ",be late,閒暇時間、娛樂,Leisure & Entertainment,(VS),2,迟到,0.00165578
747,後來,"hòulái ",later,閒暇時間、娛樂,Leisure & Entertainment,(N),2,后来,0.0126388
748,變,"biàn ",Change,閒暇時間、娛樂,Leisure & Entertainment,(VA),2,变,0.0185697
749,跳舞,"tiàowǔ ",Dance,閒暇時間、娛樂,Leisure & Entertainment,(VA),2,跳舞,0.00139369
750,樂器,"yuèqì ",musical instrument,閒暇時間、娛樂,Leisure & Entertainment,(N),2,乐器,0.000638045
751,吉他,"jítā ",Guitar,閒暇時間、娛樂,Leisure & Entertainment,(N),2,吉他,0.00092479
752,鋼琴,"gāngqín ",piano,閒暇時間、娛樂,Leisure & Entertainment,(N),2,钢琴,0.00141729
753,可怕,"kěpà ",horrible,閒暇時間、娛樂,Leisure & Entertainment,(VS),2,可怕,0.00404521
754,活動,"huódòng ",Activity,閒暇時間、娛樂,Leisure & Entertainment,(N),2,活动,0.0645676
756,消息,"xiāoxí ",information,閒暇時間、娛樂,Leisure & Entertainment,(N),2,消息,0.024219
757,才,"cái ",talent,閒暇時間、娛樂,Leisure & Entertainment,(Adv),2,才,0.0592958
758,又,"yòu ",again,閒暇時間、娛樂,Leisure & Entertainment,(Adv),2,又,0.141639
759,客人,"kèrén ",guest,與他人的關係,Relationships,(N),2,客人,0.00286541
760,不好意思,"bùhǎoyìsi ",Excuse me,與他人的關係,Relationships,,2,不好意思,0.00223941
761,怎麼了,"zěnmele ",What's wrong,與他人的關係,Relationships,,2,怎么了,
762,怎麼辦,"zěnmebàn ",what to do,與他人的關係,Relationships,,2,怎么办,0.00535459
763,客氣,"kèqì ",polite,與他人的關係,Relationships,(VS),2,客气,0.000975112
764,舞會,"wŭhuì ",prom,與他人的關係,Relationships,(N),2,舞会,0.000319073
765,最近,"zuìjìn ",recent,與他人的關係,Relationships,(Adv),2,最近,0.0197042
766,請客,"qǐngkè ",dinner,與他人的關係,Relationships,(VA),2,请客,0.000538597
767,慶祝,"qìngzhù ",celebrate,與他人的關係,Relationships,(VA),2,庆祝,0.00332941
768,聽說,"tīngshuō ",heard,與他人的關係,Relationships,(VA),2,听说,0.00596025
769,感謝,"gǎnxiè ",grateful,與他人的關係,Relationships,(VS),2,感谢,0.0117096
770,見面,"jiànmiàn ",Meet,與他人的關係,Relationships,(VA),2,见面,0.00443845
771,約,"yuē ",about,與他人的關係,Relationships,(VA),2,约,0.0220264
772,事,"shì ",thing,與他人的關係,Relationships,(N),2,事,0.0527999
773,事情,"shìqíng ",matter,與他人的關係,Relationships,(N),2,事情,0.0286015
774,明信片,"míngxìnpiàn ",postcard,與他人的關係,Relationships,(N),2,明信片,0.000628767
775,卡片,"kǎpiàn ",card,與他人的關係,Relationships,(N),2,卡片,0.000787416
776,幫,"bāng ",help,與他人的關係,Relationships,(VA),2,帮,0.018978
777,弄,"nòng ",alley,與他人的關係,Relationships,(VA),2,弄,0.00814521
778,檢查,"jiǎnchá ",examine,與他人的關係,Relationships,(VA),2,检查,0.0186607
779,通知,"tōngzhī ",notify,與他人的關係,Relationships,(VA),2,通知,0.00935412
780,"通知 ","tōngzhī ",notify,與他人的關係,Relationships,(N),2,"通知 ",
781,"叫 ","jiào ",Call,與他人的關係,Relationships,(VA),2,"叫 ",
782,麻煩,"máfán ",trouble,與他人的關係,Relationships,(N),2,麻烦,0.00493347
783,偷,"tōu ",steal,與他人的關係,Relationships,(VA),2,偷,0.00418167
784,錢包,"qiánbāo ",wallet,與他人的關係,Relationships,(N),2,钱包,0.00156
785,拉,"lā ",pull,與他人的關係,Relationships,(VA),2,拉,0.0222828
786,小偷,"xiǎotōu ",Thief,與他人的關係,Relationships,(N),2,小偷,0.00150716
787,滿,"mǎn ",Full,與他人的關係,Relationships,(VS),2,满,0.0130541
788,丟,"diū ",leave,與他人的關係,Relationships,(VS),2,丢,0.00491225
789,啊,"ā ",ah,與他人的關係,Relationships,(P),2,啊,0.142895
790,汽車,"qìchē ",car,旅行,Travel,(N),2,汽车,0.021304
791,輛,"liàng ",vehicle,旅行,Travel,(M),2,辆,0.0149958
792,船/船兒,chuán/chuánr,boat/boat,旅行,Travel,(N),2,船/船儿,
793,停車場,"tíngchēchăng ",PARKING LOT,旅行,Travel,(N),2,停车场,0.00109108
794,搭,"dā ",take,旅行,Travel,(VA),2,搭,0.00445667
795,起飛,"qĭfēi ",take off,旅行,Travel,(VA),2,起飞,0.00121632
797,出來,"chūlái ",come out,旅行,Travel,(VA),2,出来,0.0328529
798,進,"jìn ",Enter,旅行,Travel,(VA),2,进,0.0255703
799,進去,"jìnqù ",go in,旅行,Travel,(VA),2,进去,0.00454451
800,回去,"huíqù ",go back,旅行,Travel,(VA),2,回去,0.00691741
801,路口,"lùkǒu ",intersection,旅行,Travel,(N),2,路口,0.00222678
802,紅綠燈,"hónglǜdēng ",traffic light,旅行,Travel,(N),2,红绿灯,0.000309492
803,橋,"qiáo ",bridge,旅行,Travel,(N),2,桥,0.00665691
804,左,zuǒ,Left,旅行,Travel,(N),2,左,0.0107989
805,右,yòu,right,旅行,Travel,(N),2,右,0.00940038
806,外,wài,outside,旅行,Travel,(N),2,外,0.0456102
807,裡,"lǐ ",inside,旅行,Travel,(N),2,里,0.103018
808,"下 ","xià ",Down,旅行,Travel,(VA),2,"下 ",
809,上,"shàng ",superior,旅行,Travel,(VA),2,"上 ",
810,這邊,"zhèbiān ",This way,旅行,Travel,(N),2,这边,0.00228121
811,這些,"zhèxiē ",These,旅行,Travel,(Det),2,这些,0.0604304
812,那些,"nàxiē ",Those ones,旅行,Travel,(Det),2,那些,0.0240084
813,那邊,"nàbiān ",there,旅行,Travel,(N),2,那边,0.00264717
814,旅遊,"lǚyóu ",travel,旅行,Travel,(VA),2,旅游,0.015149
815,動物園,"dòngwùyuán ",zoo,旅行,Travel,(N),2,动物园,0.000587729
816,出發,"chūfā ",Set off,旅行,Travel,(VA),2,出发,0.00560887
817,離開,"líkāi ",leave,旅行,Travel,(VA),2,离开,0.0140534
818,向,"xiàng ",toward; to,旅行,Travel,(Prep),2,向,0.0856927
819,南,nán,South,旅行,Travel,(N),2,南,0.0111498
820,南部,"nánbù ",South,旅行,Travel,(N),2,南部,0.00262347
821,南邊,nánbiān,south,旅行,Travel,(N),2,南边,0.000175602
822,西,xī,West,旅行,Travel,(N),2,西,0.015946
823,西部,"xībù ",west,旅行,Travel,(N),2,西部,0.00536679
824,西邊,xībiān,west,旅行,Travel,(N),2,西边,0.000277552
825,北,běi,north,旅行,Travel,(N),2,北,0.0103574
826,北部,"běibù ",north,旅行,Travel,(N),2,北部,0.0023266
827,北邊,běibiān,north,旅行,Travel,(N),2,北边,0.000170987
828,東,dōng,East,旅行,Travel,(N),2,东,0.0118307
829,東部,dōngbù,east,旅行,Travel,(N),2,东部,0.0029963
830,東邊,dōngbiān,east,旅行,Travel,(N),2,东边,0.000242839
831,經過,"jīngguò ",go through,旅行,Travel,(VA),2,经过,0.0247667
832,轉,"zhuǎn ",change,旅行,Travel,(VA),2,转,0.0299385
833,掉,"diào ",Lose,旅行,Travel,(VS),2,掉,0.0149188
834,一直,"yīzhí ",always,旅行,Travel,(Adv),2,一直,0.0425574
835,過去,"guòqù ",past,旅行,Travel,(VA),2,过去,0.0263229
836,最後,"zuìhòu ",at last,旅行,Travel,(N),2,最后,0.0375934
837,動,"dòng ",move,旅行,Travel,(VA),2,动,0.0161836
838,躺,"tǎng ",lie,旅行,Travel,(VA),2,躺,0.00504266
839,起,qǐ,rise,旅行,Travel,(VA),2,起,0.0610119
840,停,"tíng ",stop,旅行,Travel,(VS),2,停,0.0113446
841,中心,"zhōngxīn ",center,旅行,Travel,(N),2,中心,0.0286397
842,外國,"wàiguó ",foreign,旅行,Travel,(N),2,外国,0.00474116
843,護照,"hùzhào ",passport,旅行,Travel,(N),2,护照,0.000755312
844,行李,xínglĭ,luggage,旅行,Travel,(N),2,行李,0.00128895
845,出口,"chūkŏu ",exit,旅行,Travel,(VA),2,出口,0.0126603
846,油,"yóu ",Oil,旅行,Travel,(N),2,油,0.0158803
847,鑰匙,"yàoshi ",key,旅行,Travel,(N),2,钥匙,0.00175763
848,袋子,"dàizi ",bag,旅行,Travel,(N),2,袋子,0.000505881
849,公里,"gōnglǐ ",kilometer,旅行,Travel,(M),2,公里,0.0103469
850,方向,"fāngxiàng ",direction,旅行,Travel,(N),2,方向,0.0123368
851,出現,"chūxiàn ",Appear,旅行,Travel,(VS),2,出现,0.0492333
852,交通,"jiāotōng ",transportation,旅行,Travel,(N),2,交通,0.0145198
853,臉,"liǎn ",Face,健康及身體照護,Health & Activity,(N),2,脸,0.0199847
854,腿,"tuǐ ",leg,健康及身體照護,Health & Activity,(N),2,腿,0.00835513
855,腳,"jiǎo ",foot,健康及身體照護,Health & Activity,(N),2,脚,0.0106795
856,心,"xīn ",Heart,健康及身體照護,Health & Activity,(N),2,心,0.0468069
857,鼻(子),bí(zi),nose),健康及身體照護,Health & Activity,(N),2,鼻(子),
858,背,"bèi ",back,健康及身體照護,Health & Activity,(N),2,背,0.00708227
859,嘴巴,zuǐba,mouth,健康及身體照護,Health & Activity,(N),2,嘴巴,0.00171074
860,脖子,"bózi ",neck,健康及身體照護,Health & Activity,(N),2,脖子,0.0021268
861,"健康 ","jiànkāng ",healthy,健康及身體照護,Health & Activity,(N),2,"健康 ",
862,感覺,"gǎnjué ",Feel,健康及身體照護,Health & Activity,(N),2,感觉,0.0299913
863,"感覺 ","gǎnjué ",Feel,健康及身體照護,Health & Activity,(VS),2,"感觉 ",
864,救護車,jiùhùchē,ambulance,健康及身體照護,Health & Activity,(N),2,救护车,0.000527311
865,咳嗽,"késòu ",cough,健康及身體照護,Health & Activity,(VA),2,咳嗽,0.00159888
866,發燒,"fāshāo ",fever,健康及身體照護,Health & Activity,(VS),2,发烧,
867,疼,"téng ",pain,健康及身體照護,Health & Activity,(VS),2,疼,0.00609892
868,保險,"băoxiăn ",Insurance,健康及身體照護,Health & Activity,(N),2,保险,0.0102681
869,病,"bìng ",sick,健康及身體照護,Health & Activity,(N),2,病,0.0153679
870,看病,"kànbìng ",see a doctor,健康及身體照護,Health & Activity,(VA),2,看病,0.00155428
871,病人,"bìngrén ",patient,健康及身體照護,Health & Activity,(N),2,病人,0.00881375
872,掛號,"guàhào ",registered,健康及身體照護,Health & Activity,(VA),2,挂号,0.000258613
873,牙刷,"yáshuā ",toothbrush,健康及身體照護,Health & Activity,(N),2,牙刷,0.000359197
874,剪,"jiăn ",Cut,健康及身體照護,Health & Activity,(VA),2,剪,0.0032378
875,藥房,"yàofáng ",pharmacy,健康及身體照護,Health & Activity,(N),2,药房,0.000434507
876,恢復,"huīfù ",recover,健康及身體照護,Health & Activity,(VS),2,恢复,0.0114446
877,救命,jiùmìng,Help,健康及身體照護,Health & Activity,(VA),2,救命,0.00147122
878,"影響 ","yǐngxiǎng ",Influence,健康及身體照護,Health & Activity,(N),2,"影响 ",
879,影響,"yǐngxiǎng ",Influence,健康及身體照護,Health & Activity,(VA),2,影响,0.0446946
880,飽,"bǎo ",full,購物,Shopping,(VS),2,饱,0.00224062
881,吃飽,"chībǎo ",Eat enough,購物,Shopping,(VS),2,吃饱,0.00103705
882,簡單,"jiǎndān ",Simple,購物,Shopping,(VS),2,简单,0.0155469
883,書店,"shūdiàn ",bookstore,購物,Shopping,(N),2,书店,0.00113311
884,超級市場/超市,"chāojíshìchǎng/chāoshì ",Supermarket/Supermarket,購物,Shopping,(N),2,超级市场/超市,
885,戴,"dài ",Wear,購物,Shopping,(VA),2,戴,0.00445215
886,試,"shì ",try,購物,Shopping,(VA),2,试,0.0092818
887,輕,"qīng ",light,購物,Shopping,(VS),2,轻,0.0083741
888,重,"zhòng ",Heavy,購物,Shopping,(VS),2,重,0.02127
889,流行,"liúxíng ",Popularity,購物,Shopping,(VS),2,流行,0.00520662
890,藍色,"lánsè ",blue,購物,Shopping,(N),2,蓝色,0.00306523
891,綠色,"lǜsè ",green,購物,Shopping,(N),2,绿色,0.00605898
892,紅色,"hóngsè ",red,購物,Shopping,(N),2,红色,0.00497619
893,黑色,"hēisè ",black,購物,Shopping,(N),2,黑色,0.0053869
894,手錶/錶,shǒubiǎo/biǎo,watch/table,購物,Shopping,(N),2,手表/表,
895,付,"fù ",pay,購物,Shopping,(VA),2,付,0.00427944
896,襯衫,"chènshān ",shirt,購物,Shopping,(N),2,衬衫,0.00130758
897,毛衣,"máoyī ",sweater,購物,Shopping,(N),2,毛衣,0.00180058
898,大衣,"dàyī ",coat,購物,Shopping,(N),2,大衣,0.00163472
899,牛仔褲,"niúzǎikù ",jeans,購物,Shopping,(N),2,牛仔裤,0.000949428
900,雨衣,"yŭyī ",raincoat,購物,Shopping,(N),2,雨衣,0.00013919
901,內衣,"nèiyī ",underwear,購物,Shopping,(N),2,内衣,0.00187307
902,帽子,"màozi ",hat,購物,Shopping,(N),2,帽子,0.00198894
903,皮包,"píbāo ",leather bag,購物,Shopping,(N),2,皮包,0.000298817
904,外套,"wàitào ",coat,購物,Shopping,(N),2,外套,0.00323182
905,乾,"gān ",Dry,購物,Shopping,(VS),2,干,0.0155221
906,舊,"jiù ",old,購物,Shopping,(VS),2,旧,0.00715893
907,價格,"jiàgé ",price,購物,Shopping,(N),2,价格,0.0443679
908,價錢,"jiàqián ",Price,購物,Shopping,(N),2,价钱,0.00107709
909,排隊,"páiduì  ",queue,購物,Shopping,(VA),2,排队,0.00278378
910,信用卡,"xìnyòngkǎ ",credit card,購物,Shopping,(N),2,信用卡,0.00189875
911,毛,"máo ",hair,購物,Shopping,(M),2,毛,0.0103999
912,比較,"bǐjiào ",Compare,購物,Shopping,(Adv),2,比较,0.0349217
913,樣子,yàngzi,appearance,購物,Shopping,(N),2,样子,0.00793472
914,特別,"tèbié ",special,購物,Shopping,(VS),2,特别,0.0200504
915,一般,"yībān ",generally,購物,Shopping,(VS),2,一般,0.0248854
916,圓,"yuán ",round,購物,Shopping,(VS),2,圆,0.00459218
917,光,"guāng ",Light,購物,Shopping,(VS),2,光,0.0161379
918,看見,"kànjiàn ",see,購物,Shopping,(VA),2,看见,0.00924021
919,其他,qítā,other,購物,Shopping,(Det),2,其他,0.0376607
920,聲音,"shēngyīn ",sound,購物,Shopping,(N),2,声音,0.0118828
921,大聲,"dàshēng ",loud,購物,Shopping,(VS),2,大声,0.00318781
922,好像,"hǎoxiàng ",like,購物,Shopping,(Adv),2,好像,0.0113111
923,像,"xiàng ",picture,購物,Shopping,(VA),2,像,0.044674
924,奇怪,"qíguài ",strangeness,購物,Shopping,(VS),2,奇怪,0.00456349
925,死,"sǐ ",die,購物,Shopping,(VS),2,死,0.0402175
926,髒,"zāng ",dirty,購物,Shopping,(VS),2,脏,0.00125558
927,差不多,"chàbùduō ",almost,購物,Shopping,(VS),2,差不多,0.00399427
928,一共,"yīgòng ",total amount,購物,Shopping,(Adv),2,一共,0.00192242
929,需要,"xūyào ",need,購物,Shopping,(VS),2,需要,0.0565087
930,牛排,"niúpái ",steak,飲食,Diet,(N),2,牛排,0.000466724
931,米,"mǐ ",rice,飲食,Diet,(N),2,米,0.0312225
932,三明治,"sānmíngzhì ",sandwich,飲食,Diet,(N),2,三明治,0.00019333
933,西瓜,"xīguā ",watermelon,飲食,Diet,(N),2,西瓜,0.00144244
934,啤酒,"píjiǔ ",beer,飲食,Diet,(N),2,啤酒,0.00293034
935,紅茶,"hóngchá ",black tea,飲食,Diet,(N),2,红茶,0.000357025
936,點菜,"diǎncài ",Order food,飲食,Diet,(VA),2,点菜,0.000186251
937,分,"fēn ",point,飲食,Diet,(VA),2,分,0.0628086
938,包,"bāo ",Bag,飲食,Diet,(M),2,包,0.0183939
939,酸,"suān ",acid,飲食,Diet,(VS),2,酸,0.00429335
940,苦,"kǔ ",bitter,飲食,Diet,(VS),2,苦,0.00770794
941,鹹,"xián ",salty,飲食,Diet,(VS),2,咸,0.00143348
942,辣,"là ",hot,飲食,Diet,(VS),2,辣,0.00295042
943,點心,"diǎnxīn ",dessert,飲食,Diet,(N),2,点心,0.000597246
944,冰淇淋,"bīngqílín ",ice cream,飲食,Diet,(N),2,冰淇淋,0.000553462
945,餅乾,"bǐnggān ",cookie,飲食,Diet,(N),2,饼干,0.000770538
946,漢堡,"hànbǎo ",hamburger,飲食,Diet,(N),2,汉堡,0.000628921
947,青菜,"qīngcài ",Green vegetables,飲食,Diet,(N),2,青菜,0.000509084
948,鹽,"yán ",Salt,飲食,Diet,(N),2,盐,0.0045003
949,糖,"táng ",sugar,飲食,Diet,(N),2,糖,0.00543007
950,煮,"zhǔ ",cook,飲食,Diet,(VA),2,煮,0.00466026
951,"碗 ","wǎn ",bowl,飲食,Diet,(M),2,"碗 ",
952,盤,"pán ",plate,飲食,Diet,(M),2,盘,0.0212586
953,條,"tiáo ",strip,飲食,Diet,(M),2,条,0.0380772
954,位,"wèi ",person; polite measure word,飲食,Diet,(M),2,位,0.0771341
955,種,"zhǒng ",kind; type,飲食,Diet,(M),2,种,0.0796297
956,口,"kǒu ",mouth,飲食,Diet,(M),2,口,0.0233446
957,夠,"gòu ",enough,飲食,Diet,(VS),2,够,0.00628165
958,任何,"rènhé ",any,飲食,Diet,(Det),2,任何,0.0250445
959,味道,"wèidào ",smell,飲食,Diet,(N),2,味道,0.005618
960,香,"xiāng ",fragrant,飲食,Diet,(VS),2,香,0.0091054
961,全部,"quánbù ",all,飲食,Diet,(Det),2,全部,0.0209231
962,所有,"suǒyǒu ",all,飲食,Diet,(Det),2,所有,0.0317793
963,許多,"xǔduō ",many,飲食,Diet,(Det),2,许多,0.0226069
964,新鮮,"xīnxiān ",Fresh,飲食,Diet,(VS),2,新鲜,0.00397718
965,烤,"kǎo ",bake,飲食,Diet,(VA),2,烤,0.00227384
966,嚐,"cháng ",taste,飲食,Diet,(VA),2,尝,0.00359701
967,裝,"zhuāng ",Pack,飲食,Diet,(VA),2,装,0.015314
968,刀(子),dāo(zi),knife),飲食,Diet,(N),2,刀(子),
969,叉(子),chā(zi),fork),飲食,Diet,(N),2,叉(子),
970,湯匙,"tāngchí ",spoon,飲食,Diet,(N),2,汤匙,0.000198461
971,筷子,"kuàizi ",Chopsticks,飲食,Diet,(N),2,筷子,0.00100188
972,沒有,"méi(yǒu) ",not have / there is not,其他,Other,(P),2,没有,0.161484
973,別,"bié ",Don't,其他,Other,(Adv),2,别,0.029461
974,不用,"bùyòng ",Need not,其他,Other,(Adv),2,不用,0.0107759
975,不但,"bùdàn ",Not only,其他,Other,(Conj),2,不但,0.00652499
976,只好,"zhǐhǎo ",Had to,其他,Other,(Adv),2,只好,0.00457387
977,正在,"zhèngzài ",are,其他,Other,(Adv),2,正在,0.0309349
978,馬上,"mǎshàng ",immediately,其他,Other,(Adv),2,马上,0.00970693
979,把,"bǎ ",Bundle,其他,Other,(Prep),2,把,0.13549
980,被,"bèi ",by (passive marker),其他,Other,(Prep),2,被,0.161638
982,或,"huò ",or,其他,Other,(Conj),2,或,0.070097
983,或是,"huòshì ",Or,其他,Other,(Conj),2,或是,0.00360759
984,"可能 ","kěnéng ",possible,其他,Other,(N),2,"可能 ",
985,然後,"ránhòu ",Then,其他,Other,(Adv),2,然后,0.0279407
986,但是,"dànshì ",but,其他,Other,(Conj),2,但是,0.0589476
987,而且,"érqiě ",and,其他,Other,(Conj),2,而且,0.0382438
988,雖然,"suīrán ",Although,其他,Other,(Conj),2,虽然,0.0401164
989,原來,"yuánlái ",turn out to be,其他,Other,(Adv),2,原来,0.0212789
990,也許,"yěxǔ ",Maybe,其他,Other,(Adv),2,也许,0.0123597
991,為了,"wèile ",for,其他,Other,(Prep),2,为了,0.0419877
992,必須,"bìxū ",must,其他,Other,(Adv),2,必须,0.0380468
993,永遠,"yǒngyuǎn ",forever,其他,Other,(Adv),2,永远,0.0151804
994,邊/邊兒,biān/biānr,edge/edge,其他,Other,(N),2,边/边儿,
995,那麼,nàme,So,其他,Other,(Adv),2,那么,0.0437791
996,這麼,zhème,so,其他,Other,(Adv),2,这么,0.0415813
997,本來,"běnlái ",originally,其他,Other,(Adv),2,本来,0.00902351
998,要是,"yàoshì ",if,其他,Other,(Conj),2,要是,0.0076825
999,阿姨,āyí,Aunt,,,(N),3,阿姨,0.00177262
1000,哎,"āi ",Why,,,(P),3,哎,0.00746744
1001,唉,"āi ",well,,,(P),3,唉,0.00565398
1002,愛,"ài ",love; like,,,(N),3,爱,0.0731463
1003,愛情,"àiqíng ",love,,,(N),3,爱情,0.0148342
1004,愛惜,"àixí ",cherish,,,(VS),3,爱惜,0.000298913
1005,愛心,"àixīn ",love,,,(N),3,爱心,0.0036163
1006,安定,"āndìng ",stable,,,(VS),3,安定,0.00104302
1007,安排,"ānpái ",arrange,,,(N),3,安排,0.0132018
1008,安排,"ānpái ",arrange,,,(VA),3,安排,0.0132018
1009,安心,"ānxīn ",peace of mind,,,(VS),3,安心,0.00150771
1010,按,"àn ",according to,,,(Prep),3,按,0.0231096
1011,按照,"ànzhào ",according to,,,(Prep),3,按照,0.0183725
1012,巴士,"bāshì ",bus,,,(N),3,巴士,0.000611867
1013,把,"bǎ ",Bundle,,,(M),3,把,0.13549
1014,把握,"băwò ",grasp,,,(VA),3,把握,0.00534621
1015,白,"bái ",white,,,(Adv),3,白,0.0165123
1016,白,"bái ",white,,,(VS),3,白,0.0165123
1017,白(白),bái(bái),in vain),,,(Adv),3,白(白),
1018,白菜,"báicài ",Chinese cabbage,,,(N),3,白菜,0.000823324
1019,白天,"báitiān ",daytime,,,(N),3,白天,0.00322252
1020,擺,"băi ",put,,,(VA),3,摆,0.0061928
1021,百貨公司,băihuògōngsī,department store,,,(N),3,百货公司,0.000170366
1022,班機,"bānjī ",flight,,,(N),3,班机,0.000204542
1023,搬家,"bānjiā ",move place,,,(VA),3,搬家,0.000628554
1024,辦,"bàn ",manage,,,(VA),3,办,0.0165238
1025,辦理,bànlĭ,handle,,,(VA),3,办理,0.00743358
1026,半天,"bàntiān ",long time,,,(N),3,半天,0.00258563
1027,半夜,"bànyè ",midnight,,,(N),3,半夜,0.00248365
1028,幫助,"bāngzhù ",help,,,(VA),3,帮助,0.0194694
1029,榜樣,"băngyàng ",example,,,(N),3,榜样,0.00119383
1030,棒,bàng,Great,,,(VS),3,棒,0.00569214
1031,包,"bāo ",Bag,,,(VA),3,包,0.0183939
1032,包含,"bāohán ",Include,,,(VS),3,包含,0.00255642
1033,寶貝,băobèi,baby,,,(N),3,宝贝,0.0077319
1034,寶貴,"băoguì ",valuable,,,(VS),3,宝贵,0.00167816
1035,保護,"băohù ",Protect,,,(VA),3,保护,0.0204254
1036,保守,"băoshǒu ",keep,,,(VS),3,保守,0.00142868
1037,保養,"băoyăng ",maintainance,,,(VA),3,保养,0.00150518
1038,保證/証,"băozhèng ",Guarantee/certificate,,,(N),3,保证/証,
1039,保證/証,"băozhèng ",Guarantee/certificate,,,(VA),3,保证/証,
1040,抱,bào,hug,,,(VA),3,抱,0.0109516
1041,抱怨,"bàoyuàn ",complain,,,(VA),3,抱怨,0.00255522
1042,報名,"bàomíng ",Sign up,,,(VA),3,报名,0.00635982
1043,背包,"bēibāo ",Backpack,,,(N),3,背包,0.000739187
1044,北方,"běifāng ",north,,,(N),3,北方,0.00266546
1045,被動,"bèidòng ",passive,,,(VS),3,被动,0.00183607
1046,背後,"bèihòu ",behind,,,(N),3,背后,0.00494035
1047,背景,"bèijĭng ",background,,,(N),3,背景,0.00627987
1048,輩子,"bèizi ",lifetime,,,(N),3,辈子,0.00116844
1050,本人,"běnrén ",myself,,,(N),3,本人,0.00581216
1051,本子,běnzi,book,,,(N),3,本子,0.000465178
1052,笨,"bèn ",fool,,,(VS),3,笨,0.00180926
1053,逼,"bī ",force,,,(VA),3,逼,0.0115738
1054,筆,bĭ,Pen,,,(M),3,笔,0.00854158
1056,比如(說),bǐrú(shuō),For example (say),,,(Prep),3,比如(说),
1057,畢竟,"bìjìng ",after all,,,(Adv),3,毕竟,0.00630147
1058,避免,"bìmiăn ",avoid,,,(VA),3,避免,0.00788146
1059,必要,"bìyào ",necessary,,,(VS),3,必要,0.00864825
1060,鞭炮,"biānpào ",firecracker,,,(N),3,鞭炮,0.000727487
1061,變,"biàn ",Change,,,(VS),3,变,0.0185697
1062,變成,"biànchéng ",become,,,(VA),3,变成,0.0113463
1063,變更,"biàngēng ",change,,,(VA),3,变更,0.00184156
1064,變化,"biànhuà ",change,,,(N),3,变化,0.0203259
1065,變化,"biànhuà ",change,,,(VS),3,变化,0.0203259
1066,便條,"biàntiáo ",note,,,(N),3,便条,0.0000423657
1067,標準,"biāozhŭn ",standard,,,(N),3,标准,0.0281928
1068,標準,"biāozhŭn ",standard,,,(VS),3,标准,0.0281928
1069,表,"biǎo ",surface,,,(N),3,表,0.0138208
1070,表,"biǎo ",surface,,,(N),3,表,0.0138208
